age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-01-01T04:54:31+00:00,False,,White,Person search,,Offensive weapons,51.513286,-0.100201,1490797,On or near Dean'S Court,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-01-02T04:29:18+00:00,False,,White,Person search,,Article for use in theft,51.518700,-0.101359,1490784,On or near Parking Area,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-01-02T04:43:24+00:00,False,,White,Person search,,Article for use in theft,51.518700,-0.101359,1490784,On or near Parking Area,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),True,2024-01-02T06:02:03+00:00,False,,Other,Person search,,Controlled drugs,51.517846,-0.109164,1490741,On or near Holborn,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-01-02T06:18:30+00:00,False,,Other,Person search,,Controlled drugs,51.517239,-0.106076,1490762,On or near Conference/Exhibition Centre,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-01-02T07:01:05+00:00,False,,Asian,Person search,,Controlled drugs,51.517846,-0.109164,1490741,On or near Holborn,bu-arrest,Arrest
25-34,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-01-02T08:20:37+00:00,False,,Other,Person search,,Controlled drugs,51.517846,-0.109164,1490741,On or near Holborn,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-01-02T21:21:32+00:00,False,,Asian,Person search,,Controlled drugs,51.517846,-0.109164,1490741,On or near Holborn,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-01-03T00:05:27+00:00,False,,Asian,Person search,,Controlled drugs,51.517846,-0.109164,1490741,On or near Holborn,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-01-03T22:08:28+00:00,False,,White,Person search,,Article for use in theft,51.517978,-0.103393,1490770,On or near Smithfield Street,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-01-04T04:12:59+00:00,False,,Other,Person and Vehicle search,,Evidence of offences under the Act,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-01-07T21:00:22+00:00,False,,White,Person search,,Controlled drugs,51.511077,-0.101475,1490789,On or near A3211,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),True,2024-01-10T15:05:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-arrest,Arrest
over 34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-01-11T08:17:44+00:00,False,,White,Person search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
